FEC_NAC,GENERO,EDO_CIVIL,NIV_ESTUDIOS,PUESTO,TIPO_CASA,DEP_ECONOMICOS,SUELDO_SOL,ESTADO,CP,DOM_ANIOS,DOM_MESES,TRA_ANIOS,TRA_MESES,HIJOS,CAP_PAGO,PUNTOS_BURO,OTRA_CUENTA,CLASE,CLASE2
23/03/1980,FEMENINO,DIVORCIADO,BACHILLERATO,INTENDENTE,FAMILIARES,0,3600,COLIMA,28984,16,0,0,8,SINODATOS,1080,0,SI,POTENCIALES,V3F2
13/07/1960,FEMENINO,SOLTERO,BACHILLERATO,EMPLEADO EN GENERAL,FAMILIARES,0,5000,COLIMA,28979,3,0,6,0,NO,1018.54,23.04,NO,POTENCIALES,V1F1
13/08/1976,FEMENINO,CASADO,SECUNDARIA,ASISTEDUCATIVO,PROPIA,0,3200,COLIMA,28400,13,2,2,0,SINODATOS,960,275.94,SI,PERDIDOS,V1F1
20/11/1966,FEMENINO,SOLTERO,BACHILLERATO,PROMOTOR,RENTADA,0,5900,COLIMA,28000,1,0,4,0,SINODATOS,1248,317.8,SI,POTENCIALES,V2F2
17/09/1957,MASCULINO,CASADO,LICENCIATURA,ENCAREA,PROPIA,0,20000,COLIMA,28000,26,0,15,0,NO,2289.3,808,NO,PERDIDOS,V0F0
27/04/1944,MASCULINO,CASADO,LICENCIATURA,JUBILADO,PROPIA,0,20000,COLIMA,28979,3,0,3,7,SINODATOS,2347.2,230,NO,POTENCIALES,V1F1
11/07/1943,FEMENINO,SOLTERO,PRIMARIA,EMPDOMESTICA,PROPIA,0,4000,COLIMA,28980,65,0,14,0,NO,1018.54,0,SI,POTENCIALES,V1F1
16/06/1948,FEMENINO,VIUDO,BACHILLERATO,JUBILADO,PROPIA,0,13000,COLIMA,28000,10,11,1,11,SINODATOS,3900,972.1,SI,LEALTAD,V2F4
12/03/1986,FEMENINO,CASADO,BACHILLERATO,EMPLEADO EN GENERAL,FAMILIARES,1,3500,COLIMA,28000,2,0,6,0,SINODATOS,980,126.72,SI,POTENCIALES,V2F1
26/04/1981,MASCULINO,CASADO,BACHILLERATO,COSECHADOR,PAGANDOLA,0,8000,COLIMA,28984,13,0,0,8,SINODATOS,1328.27,297,SI,POTENCIALES,V1F1
25/03/1987,FEMENINO,CASADO,BACHILLERATO,AYUDANTE EN GENERAL,RENTADA,0,10000,COLIMA,28000,2,0,10,0,SINODATOS,500,214.26,NO,POTENCIALES,V1F1
30/11/1984,FEMENINO,SOLTERO,BACHILLERATO,ASISTENTE,FAMILIARES,0,10000,COLIMA,28000,3,1,6,0,NO,1124.03,0,NO,POTENCIALES,V1F2
10/07/1988,MASCULINO,UNIONLIBRE,SECUNDARIA,CHOFER,PADRES,0,4600,COLIMA,28000,27,8,1,6,SINODATOS,1288,294,SI,POTENCIALES,V1F2
13/03/1980,FEMENINO,CASADO,LICENCIATURA,DIRECTOR,PROPIA,0,48000,COLIMA,28000,8,8,16,0,NO,8289.77,1065,SI,POTENCIALES,V3F2
22/09/1991,FEMENINO,SOLTERO,LICENCIATURA,OPERARIO DE PRODUCCION,PADRES,0,6000,COLIMA,28000,1,5,2,0,NO,800.28,9.8,NO,POTENCIALES,V2F2
11/09/1969,FEMENINO,DIVORCIADO,SECUNDARIA,AFANADORA,PROPIA,0,3200,COLIMA,28050,8,9,10,0,NO,896,42.56,NO,POTENCIALES,V1F1
27/11/1991,FEMENINO,SOLTERO,BACHILLERATO,VENDEDOR DE TACOS,RENTADA,0,4200,COLIMA,28979,5,0,1,6,SINODATOS,500,182.5,SI,POTENCIALES,V2F2
03/03/1953,FEMENINO,SOLTERO,PRIMARIA,JUBILADO,PROPIA,0,6200,COLIMA,28040,3,9,1,0,SINODATOS,1756.3,594,SI,POTENCIALES,V1F1
02/05/1994,MASCULINO,SOLTERO,SECUNDARIA,PARRILLERO,RENTADA,0,8000,COLIMA,28000,3,0,7,0,NO,960.34,0,NO,POTENCIALES,V1F1
24/06/1963,MASCULINO,CASADO,BACHILLERATO,ALBANIL,PROPIA,0,10000,COLIMA,28400,25,0,30,0,SINODATOS,2028.23,0,SI,PERDIDOS,V0F0
19/08/1980,FEMENINO,SOLTERO,SECUNDARIA,OPERARIO DE PRODUCCION,FAMILIARES,0,8000,COLIMA,28000,0,4,5,0,SINODATOS,974.16,0,SI,POTENCIALES,V1F1
19/08/1980,FEMENINO,SOLTERO,SECUNDARIA,OPERARIO DE PRODUCCION,PROPIA,0,5200,COLIMA,28000,0,10,8,0,SINODATOS,1560,291.96,SI,POTENCIALES,V1F1
31/05/1982,FEMENINO,SOLTERO,SECUNDARIA,MONITORISTA,PROPIA,2,6400,COLIMA,28983,3,1,2,0,SINODATOS,1814.4,297,SI,PERDIDOS,V2F1
22/03/1989,FEMENINO,CASADO,BACHILLERATO,VENDEDOR,PROPIA,0,3750,COLIMA,28984,0,1,0,4,SINODATOS,1125,176.7,NO,ATENCION ALTA,V1F4
26/11/1949,MASCULINO,CASADO,SECUNDARIA,MECANICO,PADRES,1,12000,COLIMA,28020,10,0,5,0,SINODATOS,1477.79,-335.12,SI,POTENCIALES,V1F1
06/08/1969,MASCULINO,UNIONLIBRE,SECUNDARIA,MONTACARGUISTA,PRESTADA,0,6000,COLIMA,28800,1,0,4,0,SINODATOS,945.79,0,NO,POTENCIALES,V2F1
25/03/1990,FEMENINO,SOLTERO,BACHILLERATO,SECRETARIA,PROPIA,0,4000,COLIMA,28050,10,0,7,0,NO,1018.54,0,SI,LEALTAD,V4F3
23/01/1975,FEMENINO,CASADO,SECUNDARIA,COMERCIANTE,PROPIA,0,5000,COLIMA,28000,14,4,6,4,SINODATOS,1018.54,0,NO,POTENCIALES,V1F1
29/06/1980,MASCULINO,UNIONLIBRE,BACHILLERATO,AYUDANTECARPINTERO,PADRES,0,12000,COLIMA,28000,17,3,5,3,SINODATOS,1572.6,200,SI,POTENCIALES,V1F1
02/05/1955,FEMENINO,CASADO,PRIMARIA,PROPIETARIO1,PROPIA,0,8000,COLIMA,28000,40,0,5,0,SI,2473.8,0,NO,ATENCION MEDIA,V1F1
14/01/1972,MASCULINO,CASADO,BACHILLERATO,DUENOPEQUENEG,PROPIA,0,50000,COLIMA,28000,39,0,3,0,NO,2632.24,102,NO,POTENCIALES,V2F2
12/12/1995,MASCULINO,SOLTERO,LICENCIATURA,SUPERVISOR,PADRES,0,12000,COLIMA,28077,4,0,1,5,NO,2358.93,39.2,SI,POTENCIALES,V3F2
02/08/1991,FEMENINO,SOLTERO,LICENCIATURA,SECRETARIA,PADRES,0,6000,COLIMA,28984,10,0,2,0,NO,909.41,0,NO,POTENCIALES,V1F2
11/03/1965,FEMENINO,CASADO,SECUNDARIA,COMERCIANTE,PROPIA,0,3000,COLIMA,28510,15,0,3,0,SINODATOS,1018.54,0,SI,CAMPEONES,V5F5
03/02/1993,MASCULINO,CASADO,BACHILLERATO,EMPLEADO EN GENERAL,PRESTADA,0,5000,COLIMA,28984,2,0,1,0,NO,909.41,9.5,NO,POTENCIALES,V2F1
28/04/1995,MASCULINO,SOLTERO,SECUNDARIA,AYUDAELECTRICISTA,PADRES,0,5200,COLIMA,28985,12,0,0,2,NO,909.41,120,SI,POTENCIALES,V2F2
15/09/1956,FEMENINO,DIVORCIADO,PRIMARIA,COMERCIANTE,PROPIA,0,12000,COLIMA,28048,2,0,3,0,SINODATOS,1018.54,69.42,SI,POTENCIALES,V1F1
15/09/1956,FEMENINO,DIVORCIADO,CARRERATECNICA,COSTURERO,PROPIA,0,3500,COLIMA,28000,7,0,10,0,SINODATOS,1050,110.92,SI,POTENCIALES,V1F1
01/03/1955,FEMENINO,SOLTERO,LICENCIATURA,COMDIFDOMICILIO,PROPIA,0,10000,COLIMA,28000,60,0,28,0,SINODATOS,1705.15,344,SI,PERDIDOS,V2F1
30/12/1989,FEMENINO,SOLTERO,MAESTRIA,MAESTROPROF,PADRES,0,5000,COLIMA,28000,25,0,4,0,NO,1500,93,NO,POTENCIALES,V2F2
12/05/1969,FEMENINO,CASADO,PRIMARIA,INTENDENTE,PROPIA,0,4800,COLIMA,28610,20,0,10,0,SINODATOS,1091.29,382,NO,POTENCIALES,V1F1
13/12/1991,MASCULINO,UNIONLIBRE,BACHILLERATO,MESERO,RENTADA,1,10000,COLIMA,28979,4,0,3,0,SINODATOS,500,200,SI,POTENCIALES,V3F2
24/05/1993,MASCULINO,SOLTERO,LICENCIATURA,PROFESOR,PRESTADA,0,6000,COLIMA,28048,0,6,0,3,NO,1136.76,0,NO,CAMPEONES,V5F5
